id_partido	team	scorers
3872550	home	<li>Rovira 53' </li>
3872550	home	<li>Fernandez 6' </li>
3872550	away	<li>Asensio 70' (PP)</li>
3872551	home	<li>Alexander 25' (P)</li>
3872551	away	<li>Fabian 60' </li>
3872551	away	<li>Niño 52' </li>
3872552	away	<li>Sevillano 60' </li>
3872552	away	<li>Calvo 27' </li>
3872553	home	<li>Ignacio 88' </li>
3872553	home	<li>Fernandez 77' </li>
3872553	away	<li>Mario 19' </li>
3872554	home	<li>Garcia 39' </li>
3872554	home	<li>Julen 12' </li>
3872554	home	<li>Julen 21' </li>
3872554	home	<li>Yeray 67' </li>
3872554	home	<li>Hernandez 6' </li>
3872554	home	<li>Hernandez 44' </li>
3872554	home	<li>Herrero 81' </li>
3872555	home	<li>Alvano 89' </li>
3872555	away	<li>Marcos 64' </li>
3872555	away	<li>Martinez 62' </li>
3872557	away	<li>Criado 51' </li>
3872557	away	<li>Tallal 53' </li>
3872557	away	<li>Almuzara 83' </li>
3872558	away	<li>Manuel 50' </li>
3872558	away	<li>Manuel 57' </li>
3872558	away	<li>Carvajal 80' </li>
3872559	home	<li>Raihani 58' </li>
3872560	home	<li>Martinez 14' (PP)</li>
3872560	home	<li>Calvo 45' </li>
3872560	away	<li>Aday 52' </li>
3872561	home	<li>Santiago 67' </li>
3872561	away	<li>Lopez 11' </li>
3872561	away	<li>Nater 7' </li>
3872561	away	<li>Perera 30' </li>
3872562	home	<li>Sanchez 43' (PP)</li>
3872562	away	<li>Fernandez 60' </li>
3872562	away	<li>Fernandez 90' </li>
3872563	away	<li>Chema 17' </li>
3872563	away	<li>Hernandez 56' </li>
3872563	away	<li>Cesar 77' </li>
3872564	home	<li>Magariño 47' </li>
3872567	home	<li>Guerrero 86' </li>
3872567	away	<li>Calvo 44' </li>
3872568	home	<li>Nico 32' </li>
3872568	home	<li>Pros 89' </li>
3872569	home	<li>Lopez 2' </li>
3872569	home	<li>Sanchez 18' </li>
3872569	home	<li>Sanchez 27' </li>
3872569	home	<li>Sanchez 33' </li>
3872569	home	<li>Perera 22' </li>
3872569	home	<li>Becerra 78' </li>
3872569	home	<li>Alonso 84' </li>
3872569	home	<li>Alonso 89' </li>
3872570	home	<li>Fernandez 64' </li>
3872571	home	<li>Jimenez 32' (P)</li>
3872571	home	<li>Garcia 37' </li>
3872571	home	<li>Ramon 79' </li>
3872571	away	<li>Fernandez 51' </li>
3872571	away	<li>Sanchez 27' </li>
3872571	away	<li>Magariño 74' (P)</li>
3872572	home	<li>Diego 71' </li>
3872572	home	<li>Diego 74' </li>
3872572	away	<li>Berzal 85' </li>
3872573	home	<li>Peña 65' </li>
3872573	home	<li>Carvajal 55' </li>
3872573	away	<li>Coello 89' </li>
3872574	home	<li>Niño 17' </li>
3872574	home	<li>Niño 82' </li>
3872574	home	<li>Raihani 46' </li>
3872574	away	<li>Carvajal 2' </li>
3872575	home	<li>Sierra 23' </li>
3872575	away	<li>Bandín 49' </li>
3872575	away	<li>Lopez 44' </li>
3872575	away	<li>Lopez 62' </li>
3872576	home	<li>Santiago 57' </li>
3872576	home	<li>Santiago 75' </li>
3872576	away	<li>Blanco 67' </li>
3872577	home	<li>Tamudo 39' </li>
3872577	home	<li>Themistokleousa 63' </li>
3872577	home	<li>Jimenez 57' </li>
3872577	away	<li>Hector Nieto 65' </li>
3872578	home	<li>Miguel 24' </li>
3872578	home	<li>Diego 89' </li>
3872578	away	<li>Ybarra 58' </li>
3872578	away	<li>Nater 50' </li>
3872578	away	<li>Perera 74' </li>
3872578	away	<li>Becerra 78' </li>
3872578	away	<li>Sanchez 79' </li>
3872579	home	<li>Fernandez 44' </li>
3872579	home	<li>Rodriguez 90' (PP)</li>
3872580	away	<li>Moran 16' (P)</li>
3872580	away	<li>Moran 20' </li>
3872580	away	<li>Fortuny 31' </li>
3872581	home	<li>Carlos 80' (P)</li>
3872581	away	<li>Adrian 15' (PP)</li>
3872581	away	<li>Alfonso 34' </li>
3872581	away	<li>Arturo 16' </li>
3872582	home	<li>Raihani 4' </li>
3872582	home	<li>Raihani 38' </li>
3872582	home	<li>Niño 83' </li>
3872582	away	<li>Amaro 77' </li>
3872583	home	<li>ISRA 65' </li>
3872583	home	<li>Alvaro 60' </li>
3872583	home	<li>Sanchez 73' </li>
3872584	home	<li>Blanco 35' </li>
3872584	home	<li>Llorente 75' </li>
3872585	home	<li>Alejandro 9' </li>
3872585	away	<li>Jesus Javier 79' </li>
3872586	home	<li>Nater 26' </li>
3872586	home	<li>Perera 22' </li>
3872586	away	<li>Moreno 19' (P)</li>
3872588	home	<li>Sotres 33' </li>
3872588	home	<li>Julen 8' </li>
3872588	home	<li>Herrero 77' </li>
3872588	home	<li>Yeray 20' </li>
3872588	home	<li>Garcia 57' </li>
3872588	home	<li>Garcia 81' (PP)</li>
3872588	away	<li>Rosa 40' </li>
3872589	away	<li>Diego 10' </li>
3872590	away	<li>De Oro 50' (P)</li>
3872591	home	<li>Santiago 54' </li>
3872591	away	<li>Niño 11' </li>
3872591	away	<li>Niño 44' </li>
3872591	away	<li>Niño 48' </li>
3872591	away	<li>Gonzalez 89' </li>
3872592	home	<li>Themistokleousa 46' </li>
3872592	home	<li>Sanchez 50' </li>
3872592	away	<li>Bandín 56' </li>
3872593	home	<li>Mciver 77' </li>
3872593	home	<li>Marcos 11' </li>
3872593	home	<li>Jesus Javier 74' </li>
3872593	away	<li>Blanco 5' </li>
3872594	home	<li>Magariño 62' (P)</li>
3872594	home	<li>Mera 58' </li>
