id_partido	team	jugador	minuto_gol	propia_puerta	penalty
3872550	home	Rovira 	53	False	False
3872550	home	Fernandez 	6	False	False
3872550	away	Asensio 	70	True	False
3872551	home	Alexander 	25	False	True
3872551	away	Fabian 	60	False	False
3872551	away	Ni	52	False	False
3872552	away	Sevillano 	60	False	False
3872552	away	Calvo 	27	False	False
3872553	home	Ignacio 	88	False	False
3872553	home	Fernandez 	77	False	False
3872553	away	Mario 	19	False	False
3872554	home	Garcia 	39	False	False
3872554	home	Julen 	12	False	False
3872554	home	Julen 	21	False	False
3872554	home	Yeray 	67	False	False
3872554	home	Hernandez 	6	False	False
3872554	home	Hernandez 	44	False	False
3872554	home	Herrero 	81	False	False
3872555	home	Alvano 	89	False	False
3872555	away	Marcos 	64	False	False
3872555	away	Martinez 	62	False	False
3872557	away	Criado 	51	False	False
3872557	away	Tallal 	53	False	False
3872557	away	Almuzara 	83	False	False
3872558	away	Manuel 	50	False	False
3872558	away	Manuel 	57	False	False
3872558	away	Carvajal 	80	False	False
3872559	home	Raihani 	58	False	False
3872560	home	Martinez 	14	True	False
3872560	home	Calvo 	45	False	False
3872560	away	Aday 	52	False	False
3872561	home	Santiago 	67	False	False
3872561	away	Lopez 	11	False	False
3872561	away	Nater 	7	False	False
3872561	away	Perera 	30	False	False
3872562	home	Sanchez 	43	True	False
3872562	away	Fernandez 	60	False	False
3872562	away	Fernandez 	90	False	False
3872563	away	Chema 	17	False	False
3872563	away	Hernandez 	56	False	False
3872563	away	Cesar 	77	False	False
3872564	home	Magari	47	False	False
3872567	home	Guerrero 	86	False	False
3872567	away	Calvo 	44	False	False
3872568	home	Nico 	32	False	False
3872568	home	Pros 	89	False	False
3872569	home	Lopez 	2	False	False
3872569	home	Sanchez 	18	False	False
3872569	home	Sanchez 	27	False	False
3872569	home	Sanchez 	33	False	False
3872569	home	Perera 	22	False	False
3872569	home	Becerra 	78	False	False
3872569	home	Alonso 	84	False	False
3872569	home	Alonso 	89	False	False
3872570	home	Fernandez 	64	False	False
3872571	home	Jimenez 	32	False	True
3872571	home	Garcia 	37	False	False
3872571	home	Ramon 	79	False	False
3872571	away	Fernandez 	51	False	False
3872571	away	Sanchez 	27	False	False
3872571	away	Magari	74	False	True
3872572	home	Diego 	71	False	False
3872572	home	Diego 	74	False	False
3872572	away	Berzal 	85	False	False
3872573	home	Pe	65	False	False
3872573	home	Carvajal 	55	False	False
3872573	away	Coello 	89	False	False
3872574	home	Ni	17	False	False
3872574	home	Ni	82	False	False
3872574	home	Raihani 	46	False	False
3872574	away	Carvajal 	2	False	False
3872575	home	Sierra 	23	False	False
3872575	away	Band	49	False	False
3872575	away	Lopez 	44	False	False
3872575	away	Lopez 	62	False	False
3872576	home	Santiago 	57	False	False
3872576	home	Santiago 	75	False	False
3872576	away	Blanco 	67	False	False
3872577	home	Tamudo 	39	False	False
3872577	home	Themistokleousa 	63	False	False
3872577	home	Jimenez 	57	False	False
3872577	away	Hector Nieto 	65	False	False
3872578	home	Miguel 	24	False	False
3872578	home	Diego 	89	False	False
3872578	away	Ybarra 	58	False	False
3872578	away	Nater 	50	False	False
3872578	away	Perera 	74	False	False
3872578	away	Becerra 	78	False	False
3872578	away	Sanchez 	79	False	False
3872579	home	Fernandez 	44	False	False
3872579	home	Rodriguez 	90	True	False
3872580	away	Moran 	16	False	True
3872580	away	Moran 	20	False	False
3872580	away	Fortuny 	31	False	False
3872581	home	Carlos 	80	False	True
3872581	away	Adrian 	15	True	False
3872581	away	Alfonso 	34	False	False
3872581	away	Arturo 	16	False	False
3872582	home	Raihani 	4	False	False
3872582	home	Raihani 	38	False	False
3872582	home	Ni	83	False	False
3872582	away	Amaro 	77	False	False
3872583	home	ISRA 	65	False	False
3872583	home	Alvaro 	60	False	False
3872583	home	Sanchez 	73	False	False
3872584	home	Blanco 	35	False	False
3872584	home	Llorente 	75	False	False
3872585	home	Alejandro 	9	False	False
3872585	away	Jesus Javier 	79	False	False
3872586	home	Nater 	26	False	False
3872586	home	Perera 	22	False	False
3872586	away	Moreno 	19	False	True
3872588	home	Sotres 	33	False	False
3872588	home	Julen 	8	False	False
3872588	home	Herrero 	77	False	False
3872588	home	Yeray 	20	False	False
3872588	home	Garcia 	57	False	False
3872588	home	Garcia 	81	True	False
3872588	away	Rosa 	40	False	False
3872589	away	Diego 	10	False	False
3872590	away	De Oro 	50	False	True
3872591	home	Santiago 	54	False	False
3872591	away	Ni	11	False	False
3872591	away	Ni	44	False	False
3872591	away	Ni	48	False	False
3872591	away	Gonzalez 	89	False	False
3872592	home	Themistokleousa 	46	False	False
3872592	home	Sanchez 	50	False	False
3872592	away	Band	56	False	False
3872593	home	Mciver 	77	False	False
3872593	home	Marcos 	11	False	False
3872593	home	Jesus Javier 	74	False	False
3872593	away	Blanco 	5	False	False
3872594	home	Magari	62	False	True
3872594	home	Mera 	58	False	False
3872594	away	Aday 	11	False	False
3872595	home	Criado 	11	False	False
3872595	away	De Las Sias 	4	False	False
3872596	away	Garcia 	1	False	False
3872597	home	Juan 	51	False	False
3872597	away	Alejandro 	3	False	False
3872597	away	Moran 	32	False	False
3872598	home	Sevillano 	13	False	False
3872598	home	Amaro 	37	False	True
3872598	home	Cordero 	63	False	False
3872599	home	Gonzalez 	67	False	False
3872599	home	Denia 	44	False	True
3872599	home	Francisco 	62	False	False
3872599	home	Francisco 	70	False	False
3872599	home	Francisco 	82	False	False
3872600	home	Fernandez 	24	False	False
3872600	home	Foldi 	83	False	False
3872600	home	Foldi 	90	False	False
3872600	away	Raul 	86	False	False
3872601	home	Herranz 	22	True	False
3872601	home	Fernandez 	79	False	False
3872601	away	Magari	50	False	False
3872602	home	Nico 	17	False	False
3872602	home	Alejandro 	34	False	False
3872602	home	De Azevedo 	89	False	False
3872602	away	Garcia 	81	False	False
3872603	home	Ybarra 	2	False	False
3872603	home	Nater 	33	False	False
3872603	away	Garcia 	90	False	False
3872604	home	Joaquin 	58	False	False
3872604	home	Fernandez 	83	False	True
3872604	away	Diego 	34	False	False
3872605	away	Moran 	35	False	True
3872605	away	Cesar 	2	False	False
