id_partido	competition	home_team	away_team	jornada	fecha	hora	ciudad	estadio	home_goals	away_goals	home_points	away_points
3872550	División de Honor Juvenil	Getafe C.F. SAD	U.D. La Cruz Villanovense	1	2022-09-03	18:00h	Getafe	Ciudad Deportiva Getafe	3	0	3	0
3872551	División de Honor Juvenil	Real Valladolid C.F. S.A.D.	Club Atlético de Madrid SAD	1	2022-09-04	12:30h	Valladolid	Anexos E.M. José Zorrilla (H. Artificial)	1	2	0	3
3872552	División de Honor Juvenil	Rayo Vallecano de Madrid SAD	C.F. Fuenlabrada SAD	1	2022-09-03	18:00h	Madrid	C.Dep. Fundacion Rayo Vallecano - Campo 4	0	2	0	3
3872553	División de Honor Juvenil	A.D. Alcorcón SAD	C.D.I. de la Amistad	1	2022-09-03	18:00h	Alcorcón	P.M. Santo Domingo	2	1	3	0
3872554	División de Honor Juvenil	Real Madrid C.F.	C.D. Badajoz 1905	1	2022-09-03	19:00h	Valdebebas	Ciudad Real Madrid	7	0	3	0
3872555	División de Honor Juvenil	C. y D. Leonesa S.A.D.	AD Sporting Hortaleza	1	2022-09-03	13:30h	Leon	Area D. de Puente Castro 1	1	2	0	3
3872556	División de Honor Juvenil	C.D. Col. Diocesano	C.D. Leganés SAD	1	2022-09-03	17:00h	Cáceres	Federación de Caceres	0	0	1	1
3872557	División de Honor Juvenil	Rayo Ciudad Alcobendas CF	C.F. Rayo Majadahonda	1	2022-09-03	16:15h	Alcobendas	Polideportivo Municipal Ciudad Deportiva Valdelasfuentes	0	3	0	3
3872558	División de Honor Juvenil	U.D. La Cruz Villanovense	Rayo Ciudad Alcobendas CF	2	2022-09-10	18:00h	Villanueva De La Serena	Anexo Estadio Villanovense	0	3	0	3
3872559	División de Honor Juvenil	Club Atlético de Madrid SAD	Getafe C.F. SAD	2	2022-09-10	19:00h	Alcalá De Henares	C.D. WANDA ALCALÁ (natural)	1	0	3	0
3872560	División de Honor Juvenil	C.F. Fuenlabrada SAD	Real Valladolid C.F. S.A.D.	2	2022-09-11	12:00h	Fuenlabrada	La Aldehuela	1	2	0	3
3872561	División de Honor Juvenil	C.D.I. de la Amistad	Rayo Vallecano de Madrid SAD	2	2022-09-11	12:00h	Palencia	E.M. Nueva Balastera	1	3	0	3
3872562	División de Honor Juvenil	C.D. Badajoz 1905	A.D. Alcorcón SAD	2	2022-09-10	19:00h	Badajoz	Campos Federativos Eusebio Bejarano Vilaro	0	3	0	3
3872563	División de Honor Juvenil	AD Sporting Hortaleza	Real Madrid C.F.	2	2022-09-10	18:30h	Madrid	Municipal Sporting de Hortaleza	0	3	0	3
3872564	División de Honor Juvenil	C.D. Leganés SAD	C. y D. Leonesa S.A.D.	2	2022-09-11	16:00h	Leganés	Instalación Deportiva Butarque	1	0	3	0
3872565	División de Honor Juvenil	C.F. Rayo Majadahonda	C.D. Col. Diocesano	2	2022-09-10	16:30h	Majadahonda	Campos Municipales Valle de la Oliva	0	0	1	1
3872566	División de Honor Juvenil	U.D. La Cruz Villanovense	Club Atlético de Madrid SAD	3	2022-09-18	12:00h	Villanueva De La Serena	Anexo Estadio Villanovense	0	0	1	1
3872567	División de Honor Juvenil	Getafe C.F. SAD	C.F. Fuenlabrada SAD	3	2022-09-18	11:30h	Getafe	Ciudad Deportiva Getafe	1	1	1	1
3872568	División de Honor Juvenil	Real Valladolid C.F. S.A.D.	C.D.I. de la Amistad	3	2022-09-17	12:00h	Valladolid	Anexos E.M. José Zorrilla (H. Artificial)	2	0	3	0
3872569	División de Honor Juvenil	Rayo Vallecano de Madrid SAD	C.D. Badajoz 1905	3	2022-09-17	18:00h	Madrid	C.Dep. Fundacion Rayo Vallecano - Campo 4	8	0	3	0
3872570	División de Honor Juvenil	A.D. Alcorcón SAD	AD Sporting Hortaleza	3	2022-09-18	11:30h	Alcorcón	P.M. Santo Domingo	1	0	3	0
3872571	División de Honor Juvenil	Real Madrid C.F.	C.D. Leganés SAD	3	2022-09-18	17:00h	Valdebebas	Ciudad Real Madrid	3	3	1	1
3872572	División de Honor Juvenil	C. y D. Leonesa S.A.D.	C.F. Rayo Majadahonda	3	2022-09-17	13:00h	Leon	Area D. de Puente Castro 1	2	1	3	0
3872573	División de Honor Juvenil	Rayo Ciudad Alcobendas CF	C.D. Col. Diocesano	3	2022-09-18	16:00h	Alcobendas	Polideportivo Municipal Ciudad Deportiva Valdelasfuentes	2	1	3	0
3872574	División de Honor Juvenil	Club Atlético de Madrid SAD	Rayo Ciudad Alcobendas CF	4	2022-10-01	12:00h	Alcalá De Henares	C.D. WANDA ALCALÁ (natural)	3	1	3	0
3872575	División de Honor Juvenil	C.F. Fuenlabrada SAD	U.D. La Cruz Villanovense	4	2022-10-02	12:00h	Fuenlabrada	La Aldehuela	1	3	0	3
3872576	División de Honor Juvenil	C.D.I. de la Amistad	Getafe C.F. SAD	4	2022-10-02	12:00h	Palencia	E.M. Nueva Balastera	2	1	3	0
3872577	División de Honor Juvenil	C.D. Badajoz 1905	Real Valladolid C.F. S.A.D.	4	2022-10-02	12:00h	Badajoz	Campos Federativos Eusebio Bejarano Vilaro	3	1	3	0
3872578	División de Honor Juvenil	AD Sporting Hortaleza	Rayo Vallecano de Madrid SAD	4	2022-10-02	17:00h	Madrid	Municipal Sporting de Hortaleza	2	5	0	3
3872579	División de Honor Juvenil	C.D. Leganés SAD	A.D. Alcorcón SAD	4	2022-10-02	12:00h	Leganés	Instalación Deportiva Butarque	1	1	1	1
